packet_rate,duration,bytes_sent,bytes_received,label
76.71,1.76,3086.79,1519.49,normal
305.02,2.82,4042.73,454.97,dos
57.09,2.28,4116.01,2427.18,normal
89.68,5.44,2565.53,1045.88,normal
46.62,6.01,2698.46,500.0,normal
254.46,2.02,4666.55,904.82,dos
103.04,1.62,3316.59,608.92,dos
50.97,10.74,4228.13,2381.87,normal
86.33,4.68,2166.26,2238.81,normal
59.11,8.47,2894.42,2740.11,normal
348.91,3.22,4523.96,1095.99,dos
381.87,2.03,8136.99,454.5,dos
72.49,3.15,500.0,2771.58,normal
112.15,5.73,3275.25,4154.69,normal
69.35,5.91,3315.25,3413.72,normal
200.09,0.52,11090.77,1712.19,dos
217.8,0.69,7537.47,713.37,dos
69.49,0.95,2415.24,4324.33,normal
87.0,3.4,2813.95,850.99,normal
88.66,4.41,1912.64,2958.31,normal
345.89,1.49,5764.54,822.49,dos
314.8,2.24,7964.23,100.0,dos
60.56,9.03,3578.47,500.0,normal
64.62,9.85,3346.62,2066.24,normal
208.12,1.07,3570.95,889.1,dos
266.68,0.1,3015.83,1234.66,dos
165.14,3.35,3535.63,774.07,dos
88.03,3.33,2801.79,1338.3,normal
41.64,5.76,3959.21,4246.6,normal
16.88,5.23,3487.59,3483.97,normal
46.53,4.13,2293.13,3180.77,normal
273.57,2.27,2416.52,882.07,dos
314.2,3.31,2000.0,1441.16,dos
376.51,1.57,6949.85,952.77,dos
76.49,6.16,1618.06,3415.98,normal
69.55,4.71,4088.01,1520.06,normal
56.32,5.73,5889.0,2591.32,normal
261.22,0.1,8369.88,553.85,dos
10.0,5.42,2662.62,2906.31,normal
43.07,8.58,2319.61,788.22,normal
182.65,2.27,4446.6,1173.95,dos
60.81,9.01,2093.31,2749.15,normal
53.79,9.0,3141.64,2619.08,normal
259.93,0.1,5399.99,938.31,dos
100.0,0.85,3193.55,100.0,dos
224.93,0.69,5816.74,826.88,dos
34.39,6.25,2312.31,1390.35,normal
72.58,4.36,1873.76,3641.86,normal
238.04,0.96,8512.56,915.41,dos
283.59,1.98,5951.01,1500.52,dos
152.58,0.1,7379.57,720.52,dos
85.6,4.8,2210.72,3143.55,normal
69.89,2.18,4204.33,3443.34,normal
169.28,1.05,3651.56,722.92,dos
201.47,1.31,7631.52,100.0,dos
227.56,1.95,4449.26,360.89,dos
240.89,0.73,6084.6,180.23,dos
83.15,7.11,4349.59,2396.14,normal
240.13,2.62,5392.43,1207.92,dos
235.96,0.65,5094.35,100.0,dos
91.99,12.91,3264.54,4211.48,normal
46.52,4.71,1069.94,4836.19,normal
60.31,4.09,3145.85,1372.47,normal
84.05,0.55,5080.37,5325.65,normal
242.88,1.12,7711.97,796.48,dos
21.38,11.01,1659.86,2428.47,normal
171.47,0.8,9086.0,1364.7,dos
71.58,7.68,2060.04,1365.44,normal
60.95,8.21,2760.06,2902.51,normal
229.86,0.99,4924.45,492.3,dos
100.0,1.8,4464.4,1125.68,dos
100.0,1.92,8872.32,1293.89,dos
268.03,0.79,3924.16,1358.43,dos
48.13,2.89,4614.97,2786.27,normal
50.71,13.47,1395.82,500.0,normal
100.0,1.08,4904.33,856.54,dos
243.45,1.27,7480.64,1065.7,dos
198.29,0.1,8441.72,1067.71,dos
17.44,4.43,1854.12,2536.34,normal
55.05,4.03,843.58,612.39,normal
13.23,5.82,1924.57,500.0,normal
259.44,2.33,6955.15,1519.66,dos
55.13,1.23,1876.39,3674.84,normal
267.12,0.23,4987.53,100.0,dos
97.32,7.06,2642.0,3531.63,normal
49.48,6.51,2740.89,795.64,normal
21.32,9.49,2080.16,1321.1,normal
269.03,0.43,6144.4,1112.03,dos
75.26,6.66,1341.74,2165.6,normal
62.18,5.12,1711.8,500.0,normal
382.28,3.26,6477.01,1347.99,dos
293.96,1.66,6926.9,1290.2,dos
24.93,4.81,3084.21,4495.5,normal
321.82,1.34,6364.17,616.09,dos
319.23,1.41,5252.88,273.34,dos
431.73,0.98,8654.39,1168.38,dos
149.05,2.73,7187.18,1212.01,dos
27.0,7.47,1701.96,2519.45,normal
33.48,3.22,3705.79,1502.41,normal
65.09,5.11,3234.61,1917.87,normal
74.71,0.5,1410.32,3562.63,normal
23.8,4.18,3565.36,2209.82,normal
184.71,1.45,5385.14,1237.32,dos
114.15,1.58,6335.41,100.0,dos
56.65,5.39,1104.75,3250.27,normal
100.0,1.78,7024.65,818.17,dos
331.03,0.13,7840.52,594.58,dos
173.6,2.91,6917.45,1438.63,dos
56.42,6.64,2606.59,4110.71,normal
174.87,0.1,6225.13,470.24,dos
91.87,4.85,2872.08,2769.78,normal
98.08,4.01,2632.5,3636.23,normal
48.7,3.78,3976.77,3283.61,normal
79.95,3.2,4369.22,1494.71,normal
39.19,0.5,2884.07,1819.84,normal
217.37,3.57,9526.08,849.56,dos
288.49,1.45,7951.2,1117.58,dos
99.83,10.15,3937.87,2267.58,normal
54.8,9.72,1301.72,1624.0,normal
75.89,8.87,3265.82,2706.59,normal
10.0,0.5,2578.94,3932.98,normal
289.53,1.38,5458.2,502.64,dos
144.34,0.78,4305.48,1139.31,dos
322.37,3.22,2965.12,649.48,dos
38.84,6.37,2103.21,2833.7,normal
270.94,1.79,5752.66,1527.23,dos
216.08,0.69,8486.81,1385.67,dos
69.19,5.53,1360.01,1469.7,normal
66.65,6.69,1979.98,3930.97,normal
203.65,1.4,5966.93,747.03,dos
352.21,2.3,5838.03,452.7,dos
264.88,0.27,5485.0,561.77,dos
282.1,2.57,7564.83,241.66,dos
239.01,0.27,7451.63,1048.47,dos
33.66,2.42,1848.16,3441.87,normal
58.43,3.67,3046.78,4705.53,normal
294.64,1.86,5781.93,1381.04,dos
415.16,0.93,3590.42,1743.43,dos
98.75,5.15,1929.36,4636.54,normal
23.56,3.74,2777.98,1903.44,normal
70.9,9.06,1437.97,3310.2,normal
49.6,5.26,2422.83,3089.9,normal
187.72,2.05,2407.11,521.88,dos
393.83,2.0,9090.57,2042.29,dos
195.23,1.12,4247.95,418.78,dos
54.65,10.54,3146.85,1127.59,normal
137.23,1.94,2000.0,918.1,dos
326.64,0.61,7429.72,1596.47,dos
75.84,4.68,1637.75,1982.58,normal
321.44,2.48,6053.81,356.34,dos
166.88,2.23,8253.6,1054.06,dos
253.77,1.59,6873.65,862.58,dos
58.35,8.95,1978.25,3227.38,normal
81.72,1.94,3259.83,3567.83,normal
59.44,7.32,3514.49,2570.32,normal
92.78,9.13,1793.57,1596.08,normal
36.19,3.8,3396.47,1927.11,normal
344.43,1.57,5916.0,497.8,dos
59.69,3.38,1570.24,1763.96,normal
86.5,1.9,1897.89,500.0,normal
35.44,7.36,3983.45,815.56,normal
204.19,1.41,6306.16,1284.34,dos
111.44,3.18,5528.05,1025.46,normal
262.29,1.12,5474.91,1058.9,dos
85.18,8.14,3380.02,1780.33,normal
250.6,0.4,8314.64,595.11,dos
277.47,2.18,7406.4,1329.62,dos
61.79,3.34,2164.78,1487.68,normal
58.64,9.7,2902.19,1921.76,normal
153.46,1.58,6228.07,546.97,dos
138.24,2.69,5639.75,655.47,dos
47.56,9.71,500.0,2496.78,normal
154.7,1.87,7027.79,1093.44,dos
100.0,0.37,5465.86,910.12,dos
420.12,1.77,2108.38,362.05,dos
102.08,0.82,8885.47,966.19,dos
53.59,0.65,2322.41,2710.5,normal
268.96,0.92,3933.35,378.24,dos
298.14,1.13,6775.57,1125.92,dos
41.2,9.2,1837.99,2532.41,normal
27.02,1.88,4203.81,1525.41,normal
500.93,1.53,6048.07,100.0,dos
80.97,2.22,4691.98,1893.26,normal
68.99,4.8,3063.52,3605.43,normal
291.21,1.63,2462.15,421.84,dos
364.75,1.45,7789.17,599.16,dos
210.44,1.65,6025.97,1025.04,dos
373.52,1.9,4658.17,698.26,dos
206.89,0.13,4998.3,866.88,dos
85.74,7.11,500.0,3650.45,normal
386.33,2.44,7048.03,337.86,dos
258.81,1.99,6083.3,590.86,dos
78.95,6.63,5911.11,2472.79,normal
245.68,0.1,6820.0,180.25,dos
281.49,3.48,6256.95,821.35,dos
52.1,8.76,3045.85,3355.96,normal
35.65,6.6,4270.54,2856.19,normal
180.51,0.92,7856.59,603.91,dos
18.92,2.79,1190.74,3592.55,normal
66.5,7.72,2771.49,1865.86,normal
67.73,4.3,2454.5,1625.77,normal
228.29,2.99,5328.65,996.69,dos
108.24,2.68,2605.41,100.0,dos
79.57,9.76,2016.02,2495.59,normal
229.62,2.45,8533.26,759.63,dos
212.87,1.1,5830.73,414.61,dos
329.58,1.74,7167.69,122.3,dos
243.54,0.91,7628.85,1134.65,dos
396.1,0.49,3577.56,354.85,dos
302.78,0.1,6877.22,616.06,dos
214.35,3.28,7430.8,100.0,dos
35.44,7.52,2984.73,5281.72,normal
411.83,2.72,2000.0,927.41,dos
51.68,5.45,5104.54,1740.0,normal
10.0,4.29,4206.91,2434.79,normal
55.55,5.62,2303.29,3319.68,normal
253.5,0.1,5363.6,753.27,dos
249.57,2.56,2935.24,1037.78,dos
86.45,1.94,2161.23,1062.58,normal
54.41,10.04,1263.9,2082.27,normal
100.31,11.19,2996.51,3121.26,normal
187.52,0.53,7015.89,1444.22,dos
437.84,1.35,6489.57,1051.36,dos
164.73,3.82,5734.55,1054.27,dos
60.11,7.39,2916.35,5370.25,normal
181.4,1.57,2923.33,880.44,dos
312.79,0.97,8852.99,272.07,dos
72.42,3.73,1685.81,2327.89,normal
92.61,4.97,2292.62,1765.7,normal
96.04,4.41,500.0,1554.69,normal
54.66,5.1,2241.53,525.39,normal
340.92,2.98,6459.55,1895.92,dos
191.92,3.22,3785.38,1353.94,dos
52.16,6.35,1836.7,4534.62,normal
64.38,7.97,2812.79,4237.43,normal
34.12,4.17,5658.86,2301.31,normal
88.85,2.15,5312.86,2733.73,normal
157.07,1.83,7945.74,719.77,dos
241.4,0.25,4465.34,797.57,dos
288.96,1.59,4406.88,439.08,dos
227.61,2.09,7301.43,790.92,dos
49.57,3.41,1656.21,1198.64,normal
61.71,7.53,1256.4,1124.14,normal
56.49,10.23,3125.91,1300.06,normal
25.7,8.36,2785.45,2847.17,normal
403.19,2.99,6202.78,366.99,dos
81.77,2.43,2299.79,2153.33,normal
70.24,1.15,4407.48,1721.97,normal
320.51,0.68,5667.33,482.01,dos
114.13,5.99,2798.25,500.0,normal
21.74,4.03,1912.07,2698.12,normal
61.48,2.58,4245.45,2558.4,normal
100.0,1.21,6929.73,1317.53,dos
56.7,5.32,2405.94,3104.63,normal
71.97,2.74,2402.57,1701.83,normal
190.93,1.37,7079.84,422.83,dos
51.05,4.96,2470.36,3461.35,normal
51.59,2.88,3018.54,1391.92,normal
55.95,4.61,1704.21,974.15,normal
234.89,2.62,6172.19,1036.14,dos
10.0,5.13,3116.23,4658.1,normal
97.25,6.43,3341.17,2924.28,normal
328.98,1.8,5345.1,100.0,dos
69.04,0.5,500.0,4006.39,normal
204.55,0.22,4946.86,961.11,dos
282.4,0.67,4686.14,2351.6,dos
55.09,8.5,2638.29,2977.88,normal
230.84,2.39,8026.57,694.6,dos
356.2,0.81,5232.87,100.0,dos
59.51,5.44,3623.66,878.71,normal
28.81,2.54,2980.88,4701.32,normal
304.99,0.46,3816.72,540.58,dos
307.85,1.32,6642.49,1000.27,dos
26.68,11.72,1558.52,3507.1,normal
63.05,6.55,3020.14,2141.28,normal
100.0,1.28,4241.74,1196.1,dos
155.84,1.88,3907.78,795.56,dos
42.19,5.69,2953.87,2902.26,normal
10.0,5.1,1378.47,1790.03,normal
66.92,4.91,1552.78,3462.14,normal
77.05,0.5,3967.25,4312.34,normal
215.62,0.3,5220.63,678.92,dos
104.38,2.74,2682.72,2781.03,normal
46.26,3.99,1225.31,3963.32,normal
231.39,2.6,8370.15,821.12,dos
291.56,3.21,7035.94,1173.0,dos
97.52,0.99,1087.56,2415.43,normal
145.0,2.26,6381.26,706.02,dos
250.46,2.69,8470.73,488.69,dos
71.93,0.5,557.41,834.05,normal
39.94,5.23,1691.75,679.51,normal
231.31,2.36,4365.18,682.33,dos
98.21,6.47,2137.18,751.39,normal
34.84,4.67,3126.93,686.69,normal
434.93,0.29,5645.04,1271.45,dos
38.83,5.77,3593.09,1166.65,normal
100.0,1.15,5616.11,764.76,dos
20.94,5.66,3183.85,3268.07,normal
65.97,0.5,2448.61,2789.29,normal
247.26,2.08,9486.88,553.63,dos
277.09,2.77,6414.13,1006.95,dos
242.39,0.1,7493.76,100.0,dos
217.94,2.09,7347.09,717.88,dos
277.01,0.28,5448.86,1414.57,dos
274.6,1.59,3495.36,637.3,dos
311.81,1.41,8072.38,791.87,dos
81.78,4.29,4280.67,2573.61,normal
67.27,9.07,2557.21,3927.01,normal
